"sottoarea","prod","data","zona","area","vendite_random_forest_FAKE","sse_random_forest_FAKE","vendite_sarima_FAKE","sse_sarima_FAKE","vendite_xgboost_FAKE","sse_xgboost_FAKE","vendite"
1,1,"2016-05-20",21,57,2.17220694480709,0.763968448323461,2.17220694480709,0.565642245457909,2.17220694480709,0.565642245457909,2.17220694480709
1,1,"2016-05-21",21,57,1.8439056626926,0.763968448323461,1.8439056626926,0.565642245457909,1.8439056626926,0.565642245457909,1.8439056626926
1,1,"2016-05-22",21,57,0.536418645222404,0.763968448323461,0.536418645222404,0.565642245457909,0.536418645222404,0.565642245457909,0.536418645222404
1,1,"2016-05-23",21,57,1.86799817817056,0.763968448323461,1.86799817817056,0.565642245457909,1.86799817817056,0.565642245457909,1.86799817817056
1,1,"2016-05-24",21,57,2.74706111504169,0.763968448323461,2.74706111504169,0.565642245457909,2.74706111504169,0.565642245457909,2.74706111504169
1,1,"2016-05-25",21,57,2.34138333307186,0.763968448323461,2.34138333307186,0.565642245457909,2.34138333307186,0.565642245457909,2.34138333307186
1,1,"2016-05-26",21,57,4.08962349098795,0.763968448323461,4.08962349098795,0.565642245457909,4.08962349098795,0.565642245457909,4.08962349098795
1,1,"2016-05-27",21,57,3.72701582352739,0.763968448323461,3.72701582352739,0.565642245457909,3.72701582352739,0.565642245457909,3.72701582352739
1,1,"2016-05-28",21,57,0,0.763968448323461,0,0.565642245457909,0,0.565642245457909,0
1,1,"2016-05-29",21,57,0.0251776156659386,0.763968448323461,0.0251776156659386,0.565642245457909,0.0251776156659386,0.565642245457909,0.0251776156659386
1,2,"2016-05-20",21,57,1.76922995155754,0.451296931945667,1.76922995155754,0.545648534398854,1.76922995155754,0.545648534398854,1.76922995155754
1,2,"2016-05-21",21,57,1.77567852958519,0.451296931945667,1.77567852958519,0.545648534398854,1.77567852958519,0.545648534398854,1.77567852958519
1,2,"2016-05-22",21,57,0.3594509322891,0.451296931945667,0.3594509322891,0.545648534398854,0.3594509322891,0.545648534398854,0.3594509322891
1,2,"2016-05-23",21,57,0.662043609728501,0.451296931945667,0.662043609728501,0.545648534398854,0.662043609728501,0.545648534398854,0.662043609728501
1,2,"2016-05-24",21,57,1.65028301648543,0.451296931945667,1.65028301648543,0.545648534398854,1.65028301648543,0.545648534398854,1.65028301648543
1,2,"2016-05-25",21,57,1.62199423085373,0.451296931945667,1.62199423085373,0.545648534398854,1.62199423085373,0.545648534398854,1.62199423085373
1,2,"2016-05-26",21,57,2.61328018561375,0.451296931945667,2.61328018561375,0.545648534398854,2.61328018561375,0.545648534398854,2.61328018561375
1,2,"2016-05-27",21,57,2.15991221572497,0.451296931945667,2.15991221572497,0.545648534398854,2.15991221572497,0.545648534398854,2.15991221572497
1,2,"2016-05-28",21,57,0.369237459160112,0.451296931945667,0.369237459160112,0.545648534398854,0.369237459160112,0.545648534398854,0.369237459160112
1,2,"2016-05-29",21,57,0,0.451296931945667,0,0.545648534398854,0,0.545648534398854,0
10,1,"2016-05-20",13,33,5.43012847355128,1.87155326485057,5.43012847355128,1.38906829568126,5.43012847355128,1.38906829568126,5.43012847355128
10,1,"2016-05-21",13,33,2.20467785707529,1.87155326485057,2.20467785707529,1.38906829568126,2.20467785707529,1.38906829568126,2.20467785707529
10,1,"2016-05-22",13,33,0,1.87155326485057,0,1.38906829568126,0,1.38906829568126,0
10,1,"2016-05-23",13,33,4.58844461342631,1.87155326485057,4.58844461342631,1.38906829568126,4.58844461342631,1.38906829568126,4.58844461342631
10,1,"2016-05-24",13,33,4.27725925156604,1.87155326485057,4.27725925156604,1.38906829568126,4.27725925156604,1.38906829568126,4.27725925156604
10,1,"2016-05-25",13,33,5.37589773496006,1.87155326485057,5.37589773496006,1.38906829568126,5.37589773496006,1.38906829568126,5.37589773496006
10,1,"2016-05-26",13,33,6.66501879898209,1.87155326485057,6.66501879898209,1.38906829568126,6.66501879898209,1.38906829568126,6.66501879898209
10,1,"2016-05-27",13,33,4.53287670282059,1.87155326485057,4.53287670282059,1.38906829568126,4.53287670282059,1.38906829568126,4.53287670282059
10,1,"2016-05-28",13,33,0.744920756211228,1.87155326485057,0.744920756211228,1.38906829568126,0.744920756211228,1.38906829568126,0.744920756211228
10,1,"2016-05-29",13,33,0,1.87155326485057,0,1.38906829568126,0,1.38906829568126,0
10,2,"2016-05-20",13,33,3.03072672886932,0.727772524307368,3.03072672886932,0.934156133784462,3.03072672886932,0.934156133784462,3.03072672886932
10,2,"2016-05-21",13,33,2.56299467208435,0.727772524307368,2.56299467208435,0.934156133784462,2.56299467208435,0.934156133784462,2.56299467208435
10,2,"2016-05-22",13,33,0.844023203659896,0.727772524307368,0.844023203659896,0.934156133784462,0.844023203659896,0.934156133784462,0.844023203659896
10,2,"2016-05-23",13,33,4.08623017368735,0.727772524307368,4.08623017368735,0.934156133784462,4.08623017368735,0.934156133784462,4.08623017368735
10,2,"2016-05-24",13,33,2.35506206318157,0.727772524307368,2.35506206318157,0.934156133784462,2.35506206318157,0.934156133784462,2.35506206318157
10,2,"2016-05-25",13,33,3.40111147991264,0.727772524307368,3.40111147991264,0.934156133784462,3.40111147991264,0.934156133784462,3.40111147991264
10,2,"2016-05-26",13,33,4.25949127945538,0.727772524307368,4.25949127945538,0.934156133784462,4.25949127945538,0.934156133784462,4.25949127945538
10,2,"2016-05-27",13,33,3.09970539205602,0.727772524307368,3.09970539205602,0.934156133784462,3.09970539205602,0.934156133784462,3.09970539205602
10,2,"2016-05-28",13,33,3.49777383027688,0.727772524307368,3.49777383027688,0.934156133784462,3.49777383027688,0.934156133784462,3.49777383027688
10,2,"2016-05-29",13,33,1.25306102979117,0.727772524307368,1.25306102979117,0.934156133784462,1.25306102979117,0.934156133784462,1.25306102979117
