"sottoarea","prod","data","zona","area","vendite_random_forest","sse_random_forest","vendite_sarima","sse_sarima","vendite_xgboost","sse_xgboost","vendite"
"5","1","2016-05-20","1","1",7.76458920091951,3.50059107982301,7.83109942148621,4.10517621158215,6.26542568206787,3.6176904672213,7.23204642429916
"5","1","2016-05-21","1","1",5.09303941795325,3.50059107982301,1.77356770295768,4.10517621158215,0.841392695903778,3.6176904672213,2.79594527361394
"5","1","2016-05-22","1","1",4.61262396779465,3.50059107982301,0.155753231105955,4.10517621158215,0,3.6176904672213,1.92861332928994
"5","1","2016-05-23","1","1",7.86157923984426,3.50059107982301,8.7377669266217,4.10517621158215,7.69532489776611,3.6176904672213,7.99737849451083
"5","1","2016-05-24","1","1",7.93354693003344,3.50059107982301,8.37779157395849,4.10517621158215,7.61501407623291,3.6176904672213,7.91686137194103
"5","1","2016-05-25","1","1",7.89957633498099,3.50059107982301,8.28531002515931,4.10517621158215,7.84614944458008,3.6176904672213,7.96657847356389
"5","1","2016-05-26","1","1",7.70589964864257,3.50059107982301,7.72696461383472,4.10517621158215,7.53343820571899,3.6176904672213,7.64764518826156
"5","1","2016-05-27","1","1",7.78108761168989,3.50059107982301,8.49467004810549,4.10517621158215,7.4922308921814,3.6176904672213,7.83564620079311
"5","1","2016-05-28","1","1",5.14788795580418,3.50059107982301,1.92560148879253,4.10517621158215,1.66727530956268,3.6176904672213,3.15415426656625
"5","1","2016-05-29","1","1",4.68137329852691,3.50059107982301,0.222482017293768,4.10517621158215,0.384127825498581,3.6176904672213,2.11207839321316
"5","2","2016-05-20","1","1",3.72795536433574,1.87746745162105,4.08236520767609,2.56984080431018,3.76570916175842,1.28039906089667,3.80209461103706
"5","2","2016-05-21","1","1",2.82174497167999,1.87746745162105,2.22765365703105,2.56984080431018,2.65590500831604,1.28039906089667,2.64129874924661
"5","2","2016-05-22","1","1",2.50531631741272,1.87746745162105,0.38732405670962,2.56984080431018,1.48139500617981,1.28039906089667,1.62503011739238
"5","2","2016-05-23","1","1",3.19687636585519,1.87746745162105,2.57193785585149,2.56984080431018,3.16523694992065,1.28039906089667,3.08527733976265
"5","2","2016-05-24","1","1",3.68783167247388,1.87746745162105,3.90033424623588,2.56984080431018,3.43048334121704,1.28039906089667,3.57893981377942
"5","2","2016-05-25","1","1",3.71157941648417,1.87746745162105,3.36091426711162,2.56984080431018,3.56685876846313,1.28039906089667,3.57942027699747
"5","2","2016-05-26","1","1",3.78327988043681,1.87746745162105,3.95335036224504,2.56984080431018,3.71506929397583,1.28039906089667,3.77157626846907
