"data","prod","zona","area","sottoarea","vendite","giorno_mese","giorno_settimana","giorno_anno","mese","settimana_anno","anno","weekend","stagione","key","primo_del_mese","sp_anno","sp_mese","sp_settimana","vendite_missing","latitudine","longitudine","cluster3","cluster6","cluster20","vacanza","vendite_giorn_prod","vendite_giorn_tot"
2016-05-10,1,21,57,1,3.22110056877136,10,2,131,5,19,2016,0,2,"21-57-1",0,339,20,8,0,37.5725143333333,14.2033541176471,3,6,17,0,792,1205
2016-05-11,1,21,57,1,3.06865978240967,11,3,132,5,19,2016,0,2,"21-57-1",0,341,22,10,0,37.5725143333333,14.2033541176471,3,6,17,0,919,1279
2016-05-12,1,21,57,1,2.81868076324463,12,4,133,5,19,2016,0,2,"21-57-1",0,345,26,14,0,37.5725143333333,14.2033541176471,3,6,17,0,877,1306
2016-05-13,1,21,57,1,3.26952719688416,13,5,134,5,20,2016,0,2,"21-57-1",0,348,29,0,0,37.5725143333333,14.2033541176471,3,6,17,0,816,1251
2016-05-14,1,21,57,1,0.733975529670715,14,6,135,5,20,2016,1,2,"21-57-1",0,350,31,2,0,37.5725143333333,14.2033541176471,3,6,17,0,53,290
2016-05-15,1,21,57,1,0.361455857753754,15,7,136,5,20,2016,1,2,"21-57-1",0,351,32,3,0,37.5725143333333,14.2033541176471,3,6,17,0,9,70
2016-05-16,1,21,57,1,3.45608377456665,16,1,137,5,20,2016,0,2,"21-57-1",0,351,32,3,0,37.5725143333333,14.2033541176471,3,6,17,0,976,1274
2016-05-17,1,21,57,1,3.30236148834229,17,2,138,5,20,2016,0,2,"21-57-1",0,355,36,7,0,37.5725143333333,14.2033541176471,3,6,17,0,858,1226
2016-05-18,1,21,57,1,2.92276930809021,18,3,139,5,20,2016,0,2,"21-57-1",0,359,40,11,0,37.5725143333333,14.2033541176471,3,6,17,0,909,1216
2016-05-19,1,21,57,1,2.47309255599976,19,4,140,5,20,2016,0,2,"21-57-1",0,361,42,13,0,37.5725143333333,14.2033541176471,3,6,17,0,465,829
2016-05-10,1,21,57,2,5.19071483612061,10,2,131,5,19,2016,0,2,"21-57-2",0,565,35,14,0,37.3371075151515,13.5432962424242,3,6,17,0,792,1205
2016-05-11,1,21,57,2,4.98650503158569,11,3,132,5,19,2016,0,2,"21-57-2",0,570,40,19,0,37.3371075151515,13.5432962424242,3,6,17,0,919,1279
2016-05-12,1,21,57,2,4.91608572006226,12,4,133,5,19,2016,0,2,"21-57-2",0,576,46,25,0,37.3371075151515,13.5432962424242,3,6,17,0,877,1306
2016-05-13,1,21,57,2,5.2740159034729,13,5,134,5,20,2016,0,2,"21-57-2",0,582,52,0,0,37.3371075151515,13.5432962424242,3,6,17,0,816,1251
2016-05-14,1,21,57,2,1.44803762435913,14,6,135,5,20,2016,1,2,"21-57-2",0,586,56,4,0,37.3371075151515,13.5432962424242,3,6,17,0,53,290
2016-05-15,1,21,57,2,0.792473673820496,15,7,136,5,20,2016,1,2,"21-57-2",0,587,57,5,0,37.3371075151515,13.5432962424242,3,6,17,0,9,70
2016-05-16,1,21,57,2,5.459632396698,16,1,137,5,20,2016,0,2,"21-57-2",0,587,57,5,0,37.3371075151515,13.5432962424242,3,6,17,0,976,1274
2016-05-17,1,21,57,2,5.32772493362427,17,2,138,5,20,2016,0,2,"21-57-2",0,594,64,12,0,37.3371075151515,13.5432962424242,3,6,17,0,858,1226
2016-05-18,1,21,57,2,4.95825815200806,18,3,139,5,20,2016,0,2,"21-57-2",0,601,71,19,0,37.3371075151515,13.5432962424242,3,6,17,0,909,1216
2016-05-19,1,21,57,2,4.59124565124512,19,4,140,5,20,2016,0,2,"21-57-2",0,606,76,24,0,37.3371075151515,13.5432962424242,3,6,17,0,465,829
2016-05-10,1,16,42,3,1.75078499317169,10,2,131,5,19,2016,0,2,"16-42-3",0,166,11,4,0,45.3310171285714,8.26463187142857,1,2,20,0,792,1205
2016-05-11,1,16,42,3,1.65225899219513,11,3,132,5,19,2016,0,2,"16-42-3",0,167,12,5,0,45.3310171285714,8.26463187142857,1,2,20,0,919,1279
2016-05-12,1,16,42,3,1.68967854976654,12,4,133,5,19,2016,0,2,"16-42-3",0,169,14,7,0,45.3310171285714,8.26463187142857,1,2,20,0,877,1306
2016-05-13,1,16,42,3,1.65116167068481,13,5,134,5,20,2016,0,2,"16-42-3",0,171,16,0,0,45.3310171285714,8.26463187142857,1,2,20,0,816,1251
2016-05-14,1,16,42,3,-0.0940148830413818,14,6,135,5,20,2016,1,2,"16-42-3",0,173,18,2,0,45.3310171285714,8.26463187142857,1,2,20,0,53,290
2016-05-15,1,16,42,3,-0.335090637207031,15,7,136,5,20,2016,1,2,"16-42-3",0,173,18,2,0,45.3310171285714,8.26463187142857,1,2,20,0,9,70
2016-05-16,1,16,42,3,2.37667608261108,16,1,137,5,20,2016,0,2,"16-42-3",0,173,18,2,0,45.3310171285714,8.26463187142857,1,2,20,0,976,1274
2016-05-17,1,16,42,3,1.90936529636383,17,2,138,5,20,2016,0,2,"16-42-3",0,175,20,4,0,45.3310171285714,8.26463187142857,1,2,20,0,858,1226
2016-05-18,1,16,42,3,1.76314163208008,18,3,139,5,20,2016,0,2,"16-42-3",0,176,21,5,0,45.3310171285714,8.26463187142857,1,2,20,0,909,1216
2016-05-19,1,16,42,3,1.34435999393463,19,4,140,5,20,2016,0,2,"16-42-3",0,178,23,7,0,45.3310171285714,8.26463187142857,1,2,20,0,465,829
2016-05-10,1,16,42,4,5.74389362335205,10,2,131,5,19,2016,0,2,"16-42-4",0,608,37,11,0,44.8372005445026,8.63926629842932,1,2,12,0,792,1205
2016-05-11,1,16,42,4,5.64744091033936,11,3,132,5,19,2016,0,2,"16-42-4",0,613,42,16,0,44.8372005445026,8.63926629842932,1,2,12,0,919,1279
2016-05-12,1,16,42,4,5.67091035842896,12,4,133,5,19,2016,0,2,"16-42-4",0,619,48,22,0,44.8372005445026,8.63926629842932,1,2,12,0,877,1306
2016-05-13,1,16,42,4,5.58083152770996,13,5,134,5,20,2016,0,2,"16-42-4",0,624,53,0,0,44.8372005445026,8.63926629842932,1,2,12,0,816,1251
2016-05-14,1,16,42,4,0.956485152244568,14,6,135,5,20,2016,1,2,"16-42-4",0,629,58,5,0,44.8372005445026,8.63926629842932,1,2,12,0,53,290
2016-05-15,1,16,42,4,0.123087704181671,15,7,136,5,20,2016,1,2,"16-42-4",0,629,58,5,0,44.8372005445026,8.63926629842932,1,2,12,0,9,70
2016-05-16,1,16,42,4,5.97682952880859,16,1,137,5,20,2016,0,2,"16-42-4",0,629,58,5,0,44.8372005445026,8.63926629842932,1,2,12,0,976,1274
2016-05-17,1,16,42,4,5.84839153289795,17,2,138,5,20,2016,0,2,"16-42-4",0,635,64,11,0,44.8372005445026,8.63926629842932,1,2,12,0,858,1226
2016-05-18,1,16,42,4,5.64787721633911,18,3,139,5,20,2016,0,2,"16-42-4",0,640,69,16,0,44.8372005445026,8.63926629842932,1,2,12,0,909,1216
2016-05-19,1,16,42,4,5.30795049667358,19,4,140,5,20,2016,0,2,"16-42-4",0,646,75,22,0,44.8372005445026,8.63926629842932,1,2,12,0,465,829
