"prod","sottoarea","data","vendite"
1,1,2016-05-20,2.17220694480709
1,1,2016-05-21,1.8439056626926
1,1,2016-05-22,0.536418645222404
1,1,2016-05-23,1.86799817817056
1,1,2016-05-24,2.74706111504169
1,1,2016-05-25,2.34138333307186
1,1,2016-05-26,4.08962349098795
1,1,2016-05-27,3.72701582352739
1,1,2016-05-28,0
1,1,2016-05-29,0.0251776156659386
1,2,2016-05-20,5.42324704180918
1,2,2016-05-21,2.51023126582448
1,2,2016-05-22,1.46767895359
1,2,2016-05-23,4.38007476666474
1,2,2016-05-24,4.99050122767265
1,2,2016-05-25,4.86593310855378
1,2,2016-05-26,6.50170690955184
1,2,2016-05-27,7.10707393393435
1,2,2016-05-28,0.565715650218807
1,2,2016-05-29,0.0557877219968803
1,3,2016-05-20,1.07138966727134
1,3,2016-05-21,0.281200010647689
1,3,2016-05-22,0
1,3,2016-05-23,2.31329913277713
1,3,2016-05-24,1.59732368195973
1,3,2016-05-25,1.2188391033161
1,3,2016-05-26,1.44513749241149
1,3,2016-05-27,1.19464211072859
1,3,2016-05-28,0.652686602490392
1,3,2016-05-29,0.145721263621666
1,4,2016-05-20,4.44423946804543
1,4,2016-05-21,0
1,4,2016-05-22,0
1,4,2016-05-23,5.36451288914076
1,4,2016-05-24,5.43844917020023
1,4,2016-05-25,5.72331901226687
1,4,2016-05-26,5.31515664307069
1,4,2016-05-27,4.0346685296323
1,4,2016-05-28,0.445875980666833
1,4,2016-05-29,0
1,5,2016-05-20,7.80830111306039
1,5,2016-05-21,1.31596451025405
1,5,2016-05-22,0.866167833586042
1,5,2016-05-23,8.11049982826926
1,5,2016-05-24,6.66073810458549
1,5,2016-05-25,7.67279512872391
1,5,2016-05-26,7.81575301889442
1,5,2016-05-27,8.83741262836049
1,5,2016-05-28,1.27813840525436
1,5,2016-05-29,0
1,6,2016-05-20,0.945444731726633
1,6,2016-05-21,0.00218161527568336
1,6,2016-05-22,0.0258635059149844
1,6,2016-05-23,1.57078414285766
1,6,2016-05-24,0.416519299044994
1,6,2016-05-25,1.1178845776229
1,6,2016-05-26,0.719900705592055
1,6,2016-05-27,0.985425916754367
1,6,2016-05-28,1.05172891296715
1,6,2016-05-29,0
1,7,2016-05-20,2.76910671729261
1,7,2016-05-21,1.20050957511756
1,7,2016-05-22,0.132937079447616
1,7,2016-05-23,2.84683269355454
1,7,2016-05-24,2.53933874796588
1,7,2016-05-25,2.68359173267077
1,7,2016-05-26,3.45278194447977
1,7,2016-05-27,2.3914282728152
1,7,2016-05-28,0.910421589868468
1,7,2016-05-29,0.0428334878282317
1,8,2016-05-20,5.34042407753524
1,8,2016-05-21,0.877849763128705
1,8,2016-05-22,0.332552872771342
1,8,2016-05-23,5.47009625432579
1,8,2016-05-24,5.05676020967915
1,8,2016-05-25,5.54591895470922
1,8,2016-05-26,6.34281273854819
1,8,2016-05-27,6.26499151547027
