"sottoarea","prod","sse","mape","maxape","logloss"
5,1,3.78410969915106,0.244573023170233,0.666895061731339,-62.1697335105438
5,2,1.42110315582934,0.406944046020508,0.902218627929688,-17.2454278142355
6,1,0.749602509238321,0.961214683949947,1.76169127225876,1.0000050000333e-05
6,2,0.120166713051037,1.41618050634861,3.03910747170448,0.310234062172226
7,1,0.47173217884249,0.230933984120687,0.575843453407288,-18.261208481464
7,2,1.53688160469924,0.478272958805687,1.63890280221638,-10.481676010806
8,1,2.76045837206953,0.315769367747837,0.775307655334473,-41.3400741646616
8,2,0.890117226309914,0.352527178823948,0.917557597160339,-12.6018438583082
15,1,0.192249904403423,0.178308512270451,0.373934507369995,-13.8083162354053
15,2,0.442093991421412,0.455555955568949,0.95591073234876,-0.716411122214001
16,1,1.71033113659507,0.227576360983007,0.460555226195092,-47.2029434061416
16,2,0.861509311512504,0.23693134504206,0.490491740843829,-27.6309871157695
17,1,0.597708031437259,0.884461947849819,2.48162320681981,1.15130154654248
17,2,0.261216712437072,2.03182695806026,5.25696128606796,1.57998306430268
18,1,2.26446345139644,0.261657755374908,0.55508975982666,-47.0407077778053
18,2,0.998013792196559,0.500047239992354,0.796937478913201,-9.12895083862624
19,1,0.303994753278434,0.192461392054191,0.36107613490178,-20.6480898064818
19,2,0.640314966980023,0.561475405326256,1.26610407462487,-4.46608788783444
20,1,0.380791135352748,Inf,Inf,1.83323826807469
20,2,0.0727412092123321,Inf,Inf,0.00403318910163629
30,1,2.41171805470252,0.266697586907281,0.627434094746908,-40.2774831141485
30,2,0.552147345481223,0.437503614595958,1.13688315664019,-5.66798021499909
31,1,2.68323567695812,0.221267579031772,0.522911978549645,-58.7158588710664
31,2,0.3194051640915,0.242361031827472,0.383122194380987,-12.6281982213616
32,1,0.395236606184103,1.18317726254463,2.90769994258881,2.74693202887352
32,2,0.03696002582064,Inf,Inf,0.026334951126479
33,1,1.22249868963292,0.880886121229692,1.49517406116832,-3.432823453376
33,2,0.276835142482332,1.49281098445257,2.92959839105606,0.752495900360054
34,1,0.830155140809836,0.315104057009404,0.549010680272029,-19.4842586690783
34,2,0.235498053286303,0.333320919010374,1.54392235808902,0.171754102430376
35,1,4.49326165691244,0.280791574511035,0.656319486683813,-55.2619842315889
35,2,1.63978450477862,0.424340293957637,0.909660504414485,-18.4206547438296
36,1,2.02739254694533,0.258469609419505,0.704557206895616,-41.2106548615923
36,2,0.928075293111072,0.292139682504866,0.668559692524098,-19.5664628264466
37,1,9.15943737260423,0.233989297297963,0.37224434969718,-119.734310835168
37,2,6.68563213182397,0.297146570114862,0.957151973058307,-61.0184419640513
38,1,0.876345853306674,0.313808470964432,0.634159033115093,-20.575137240665
38,2,0.397390739822064,0.408473069017584,1.45977746356617,-3.33259795509887
