"sottoarea","prod","sse","mape","maxape"
5,"1",3.50059107982301,0.237632282312172,0.673418171634645
5,"2",1.87746745162105,0.492140393491403,0.90328991658558
6,"1",0.210219453507389,0.348043271125268,1.36755262477749
6,"2",0.234451660291401,2.39064581383885,2.94073109157441
7,"1",0.58005770201777,0.259666838045023,0.554194457759646
7,"2",1.56662856408035,0.587553348724561,1.36479815969133
8,"1",1.7461297687612,0.212332714487853,0.669032140522573
8,"2",1.58212425571564,0.510853255504115,1.16422226809922
15,"1",0.228010607061125,0.226458776947868,0.336909266290455
15,"2",0.320323072467096,0.448073015472265,0.626162900870225
16,"1",1.66898294586053,0.222744929649557,0.430249531316367
16,"2",0.850691086229268,0.239004393506889,0.452878574134106
17,"1",0.107939374076206,0.207707740127774,1.42095938904844
17,"2",0.284496452242525,2.56879863493472,4.36946163691303
18,"1",3.53460561168955,0.315402852042642,0.700654614016752
18,"2",0.95908054008242,0.482481922565177,0.723912764515054
19,"1",0.411878664256751,0.186014689063018,0.407980988205142
19,"2",0.506966762004301,0.515600604860354,0.980055722483569
30,"1",2.70886049340532,0.280679816198692,0.632266431226115
30,"2",0.448548122334144,0.413065088745568,0.738590895428386
31,"1",3.08898927883086,0.21566974063033,0.533577414034223
31,"2",0.222074269416322,0.211716289806429,0.293940352091981
33,"1",0.490640837160193,0.522967825521518,0.915366766445763
33,"2",0.212443077061305,1.49674430727693,1.96898326694819
34,"1",1.02122197523617,0.316707899526695,0.800156460099742
34,"2",0.137280355910695,0.318525987138488,0.8235318667126
35,"1",4.86949001153868,0.292036936088658,0.696815009978345
35,"2",1.69292823177101,0.431202442495663,0.868070629541669
36,"1",2.56472923257857,0.300975840849873,0.638722487238696
36,"2",1.00293656874554,0.310675887470472,0.669491166557552
37,"1",7.30239263173836,0.198873363178932,0.409431984991298
37,"2",6.26371346791119,0.283826066261774,0.934778977577541
38,"1",0.752861987820789,0.253073068960538,0.773432626234873
38,"2",0.647978765428802,0.612851534451455,1.56992645825544
39,"1",1.73230024653405,0.238670206599621,0.488965966831486
39,"2",0.600845253524594,0.282224628360863,0.715485697623259
40,"1",1.80640536994167,0.179835349051837,0.382182644026459
40,"2",1.58306942962466,0.237529601101682,0.765953146576567
80,"1",1.19376543674498,0.186338828691436,0.51344373170333
80,"2",1.17441486884644,0.411751026856887,0.914664450543757
81,"1",0.301515375281852,0.134498879087978,0.311618254444517
81,"2",0.650270071980908,0.397168688285028,0.85045580073825
82,"1",0.606635858490859,0.391138834306871,1.02074767284228
82,"2",0.248807588454311,0.367285854044974,1.18131738479348
96,"1",2.06003243459465,0.249758418351237,0.560487139160827
96,"2",1.43958422246138,0.291770303562201,1.14648695972789
97,"1",1.02697300035099,0.280996792573623,0.686621031898173
97,"2",4.29926719226845,0.605992417909885,3.52328957624419
105,"1",3.72708569142846,0.219731370424045,0.596863875658323
105,"2",10.8954535128282,0.401167510139674,1.85350120415865
24,"1",4.89236026535862,0.351142739673756,0.769834011672321
24,"2",0.429637763054032,0.344134815628459,0.609366721022347
25,"1",2.87409939976627,0.303835898265756,0.639118195824002
25,"2",0.594563341976343,0.280190263222739,0.709933586136926
50,"1",4.71247266353054,0.230148049377443,0.59294330785296
50,"2",8.6343840282547,0.404350127928697,1.85572621413472
106,"1",4.00654288690568,0.22352192374341,0.474625744093304
106,"2",8.32082594018263,0.415538705754615,1.82144874918738
107,"1",0.871986605794167,0.465184048719136,0.973044901901228
107,"2",2.36537378828863,0.59304917268598,1.38119062426392
