"","sottoarea","data","prod","zona","area","key","latitudine","longitudine","giorno_mese","giorno_settimana","giorno_anno","mese","settimana_anno","anno","weekend","vacanza","stagione","primo_del_mese","vendite_giorn_prod","cluster3","cluster6","cluster20","vendite"
"1",1,2016-05-21,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,21,6,142,5,21,2016,1,0,2,0,259.145863947976,3,6,17,-0.605700373649597
"2",1,2016-05-22,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,22,7,143,5,21,2016,1,0,2,0,0,3,6,17,-0.826257109642029
"3",1,2016-05-23,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,23,1,144,5,21,2016,0,0,2,0,780.155965499916,3,6,17,3.19231414794922
"4",1,2016-05-20,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,20,5,141,5,21,2016,0,0,2,0,751.907787779668,3,6,17,1.59533905982971
"5",1,2016-05-25,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,25,3,146,5,21,2016,0,0,2,0,758.006136974609,3,6,17,2.53811812400818
"6",1,2016-05-26,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,26,4,147,5,21,2016,0,0,2,0,951.407652841837,3,6,17,2.50285530090332
"7",1,2016-05-27,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,27,5,148,5,22,2016,0,0,2,0,767.248723866546,3,6,17,2.77553629875183
"8",1,2016-05-24,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,24,2,145,5,21,2016,0,0,2,0,468.628404146751,3,6,17,2.54475808143616
"9",1,2016-05-20,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,20,5,141,5,21,2016,0,0,2,0,417.836075248483,3,6,17,1.5568540096283
"10",1,2016-05-21,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,21,6,142,5,21,2016,1,0,2,0,233.605954878847,3,6,17,0.909494519233704
"11",1,2016-05-22,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,22,7,143,5,21,2016,1,0,2,0,57.6408683200873,3,6,17,0.474343240261078
"12",1,2016-05-23,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,23,1,144,5,21,2016,0,0,2,0,221.84072340059,3,6,17,1.66667401790619
"13",1,2016-05-24,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,24,2,145,5,21,2016,0,0,2,0,347.806826773757,3,6,17,1.76775801181793
"14",1,2016-05-25,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,25,3,146,5,21,2016,0,0,2,0,336.547069185266,3,6,17,1.64735126495361
"15",1,2016-05-26,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,26,4,147,5,21,2016,0,0,2,0,454.107695216981,3,6,17,1.85236120223999
"16",1,2016-05-27,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,27,5,148,5,22,2016,0,0,2,0,389.198726658105,3,6,17,1.9225389957428
"17",1,2016-05-28,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,28,6,149,5,22,2016,1,0,2,0,189.253821575583,3,6,17,0.899255335330963
"18",1,2016-05-29,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,29,7,150,5,22,2016,1,0,2,0,33.2544108599599,3,6,17,0.428425669670105
"19",1,2016-05-29,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,29,7,150,5,22,2016,1,0,2,0,0,3,6,17,0.0605407357215881
"20",1,2016-05-28,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,28,6,149,5,22,2016,1,0,2,0,176.044081092898,3,6,17,0.300622373819351
"21",2,2016-05-21,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,21,6,142,5,21,2016,1,0,2,0,233.605954878847,3,6,17,1.27760910987854
"22",2,2016-05-22,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,22,7,143,5,21,2016,1,0,2,0,57.6408683200873,3,6,17,0.674206674098969
"23",2,2016-05-23,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,23,1,144,5,21,2016,0,0,2,0,221.84072340059,3,6,17,2.39686393737793
"24",2,2016-05-25,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,25,3,146,5,21,2016,0,0,2,0,336.547069185266,3,6,17,2.58050012588501
"25",2,2016-05-26,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,26,4,147,5,21,2016,0,0,2,0,454.107695216981,3,6,17,2.82672333717346
"26",2,2016-05-27,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,27,5,148,5,22,2016,0,0,2,0,389.198726658105,3,6,17,2.94226717948914
"27",2,2016-05-24,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,24,2,145,5,21,2016,0,0,2,0,347.806826773757,3,6,17,2.6139349937439
"28",2,2016-05-29,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,29,7,150,5,22,2016,1,0,2,0,33.2544108599599,3,6,17,0.664776563644409
"29",2,2016-05-29,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,29,7,150,5,22,2016,1,0,2,0,0,3,6,17,0.261713624000549
"30",2,2016-05-21,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,21,6,142,5,21,2016,1,0,2,0,259.145863947976,3,6,17,-0.0135384798049927
"31",2,2016-05-28,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,28,6,149,5,22,2016,1,0,2,0,189.253821575583,3,6,17,1.20373558998108
"32",2,2016-05-20,2,21,57,"21-57-2",37.3371075151515,13.5432962424242,20,5,141,5,21,2016,0,0,2,0,417.836075248483,3,6,17,2.57956385612488
"33",2,2016-05-20,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,20,5,141,5,21,2016,0,0,2,0,751.907787779668,3,6,17,3.91172218322754
"34",2,2016-05-25,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,25,3,146,5,21,2016,0,0,2,0,758.006136974609,3,6,17,4.81474113464355
"35",2,2016-05-22,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,22,7,143,5,21,2016,1,0,2,0,0,3,6,17,-0.661571621894836
"36",2,2016-05-23,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,23,1,144,5,21,2016,0,0,2,0,780.155965499916,3,6,17,5.39347887039185
"37",2,2016-05-24,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,24,2,145,5,21,2016,0,0,2,0,468.628404146751,3,6,17,4.84869527816772
"38",2,2016-05-26,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,26,4,147,5,21,2016,0,0,2,0,951.407652841837,3,6,17,4.77163696289062
"39",2,2016-05-27,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,27,5,148,5,22,2016,0,0,2,0,767.248723866546,3,6,17,5.08968067169189
"40",2,2016-05-28,1,21,57,"21-57-2",37.3371075151515,13.5432962424242,28,6,149,5,22,2016,1,0,2,0,176.044081092898,3,6,17,0.829902768135071
"41",3,2016-05-21,2,16,42,"16-42-3",45.3310171285714,8.26463187142857,21,6,142,5,21,2016,1,0,2,0,233.605954878847,1,2,20,0.17086985707283
"42",3,2016-05-22,2,16,42,"16-42-3",45.3310171285714,8.26463187142857,22,7,143,5,21,2016,1,0,2,0,57.6408683200873,1,2,20,0.0842343866825104
"43",3,2016-05-23,2,16,42,"16-42-3",45.3310171285714,8.26463187142857,23,1,144,5,21,2016,0,0,2,0,221.84072340059,1,2,20,-0.488351225852966
"44",3,2016-05-25,2,16,42,"16-42-3",45.3310171285714,8.26463187142857,25,3,146,5,21,2016,0,0,2,0,336.547069185266,1,2,20,0.385008752346039
"45",3,2016-05-26,2,16,42,"16-42-3",45.3310171285714,8.26463187142857,26,4,147,5,21,2016,0,0,2,0,454.107695216981,1,2,20,0.482924044132233
"46",3,2016-05-27,2,16,42,"16-42-3",45.3310171285714,8.26463187142857,27,5,148,5,22,2016,0,0,2,0,389.198726658105,1,2,20,0.0810705721378326
"47",3,2016-05-24,2,16,42,"16-42-3",45.3310171285714,8.26463187142857,24,2,145,5,21,2016,0,0,2,0,347.806826773757,1,2,20,0.00538423657417297
"48",3,2016-05-20,2,16,42,"16-42-3",45.3310171285714,8.26463187142857,20,5,141,5,21,2016,0,0,2,0,417.836075248483,1,2,20,-0.236876964569092
"49",3,2016-05-20,1,16,42,"16-42-3",45.3310171285714,8.26463187142857,20,5,141,5,21,2016,0,0,2,0,751.907787779668,1,2,20,-0.188381910324097
