"sottoarea","data","prod","zona","area","key","latitudine","longitudine","giorno_mese","giorno_settimana","giorno_anno","mese","settimana_anno","anno","weekend","vacanza","stagione","primo_del_mese","vendite_giorn_prod","cluster3","cluster6","cluster20","vendite"
1,2016-05-21,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,21,6,142,5,21,2016,1,0,2,0,259.145863947976,3,6,17,0
1,2016-05-22,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,22,7,143,5,21,2016,1,0,2,0,0,3,6,17,0
1,2016-05-23,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,23,1,144,5,21,2016,0,0,2,0,780.155965499916,3,6,17,3.47068810462952
1,2016-05-20,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,20,5,141,5,21,2016,0,0,2,0,751.907787779668,3,6,17,1.30882620811462
1,2016-05-25,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,25,3,146,5,21,2016,0,0,2,0,758.006136974609,3,6,17,2.94643616676331
1,2016-05-26,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,26,4,147,5,21,2016,0,0,2,0,951.407652841837,3,6,17,2.84233069419861
1,2016-05-27,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,27,5,148,5,22,2016,0,0,2,0,767.248723866546,3,6,17,2.87136316299438
1,2016-05-24,1,21,57,"21-57-1",37.5725143333333,14.2033541176471,24,2,145,5,21,2016,0,0,2,0,468.628404146751,3,6,17,2.60540795326233
1,2016-05-20,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,20,5,141,5,21,2016,0,0,2,0,417.836075248483,3,6,17,1.50320732593536
1,2016-05-21,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,21,6,142,5,21,2016,1,0,2,0,233.605954878847,3,6,17,0.676410675048828
1,2016-05-22,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,22,7,143,5,21,2016,1,0,2,0,57.6408683200873,3,6,17,0.0983883440494537
1,2016-05-23,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,23,1,144,5,21,2016,0,0,2,0,221.84072340059,3,6,17,1.76072096824646
1,2016-05-24,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,24,2,145,5,21,2016,0,0,2,0,347.806826773757,3,6,17,1.75215578079224
1,2016-05-25,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,25,3,146,5,21,2016,0,0,2,0,336.547069185266,3,6,17,1.90075469017029
1,2016-05-26,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,26,4,147,5,21,2016,0,0,2,0,454.107695216981,3,6,17,1.96466565132141
1,2016-05-27,2,21,57,"21-57-1",37.5725143333333,14.2033541176471,27,5,148,5,22,2016,0,0,2,0,389.198726658105,3,6,17,1.83244729042053
